entry_threshold,exit_threshold,exit_prob_drop,min_hold_bars,max_hold_seconds,stop_loss_pct,take_profit_pct,profit_trailing_start_pct,profit_trailing_stop_pct,max_spread_bps,disable_prob_exits,trades,wins,pnl,pnl_perc,sharpe,max_drawdown,profit_factor,median_trade,avg_trade,fraction_time_in_position,skipped_spread,skipped_sizing,skipped_other,exit_reasons,coverage
0.64,0.64,0.15,1,5400,0.008,,,0.0015,8,True,1066,549,-6.013563837304368,-0.2405425534921747,-1.633989540561495,13.374047068150652,0.8625660390734186,0.0026112331860567327,-0.005641241873643873,0.41620089285714285,164,0,0,"{""time_limit"": 1000, ""stop_loss"": 66}",0.13733482142857142
0.64,0.64,0.15,1,5400,0.008,,,0.0025,8,True,1066,549,-6.013563837304368,-0.2405425534921747,-1.633989540561495,13.374047068150652,0.8625660390734186,0.0026112331860567327,-0.005641241873643873,0.41620089285714285,164,0,0,"{""time_limit"": 1000, ""stop_loss"": 66}",0.13733482142857142
0.64,0.64,0.15,1,5400,0.008,,0.003,,8,True,1066,549,-6.013563837304368,-0.2405425534921747,-1.633989540561495,13.374047068150652,0.8625660390734186,0.0026112331860567327,-0.005641241873643873,0.41620089285714285,164,0,0,"{""time_limit"": 1000, ""stop_loss"": 66}",0.13733482142857142
0.64,0.64,0.15,1,5400,0.008,,0.003,0.0015,8,True,1182,663,-8.171184062295318,-0.3268473624918127,-2.3166120633203033,13.548316207000212,0.8206897684964968,0.011410495893524258,-0.006913015281129713,0.3915,202,0,0,"{""profit_trailing"": 381, ""time_limit"": 724, ""stop_loss"": 77}",0.13733482142857142
0.64,0.64,0.15,1,5400,0.008,,0.003,0.0025,8,True,1148,597,-7.164248565818375,-0.286569942632735,-1.9727357296911567,13.957647106860984,0.8411025075391302,0.0031247613589383935,-0.00624063463921462,0.4038348214285714,206,0,0,"{""time_limit"": 802, ""profit_trailing"": 271, ""stop_loss"": 75}",0.13733482142857142
0.64,0.64,0.15,1,5400,0.008,,0.005,,8,True,1066,549,-6.013563837304368,-0.2405425534921747,-1.633989540561495,13.374047068150652,0.8625660390734186,0.0026112331860567327,-0.005641241873643873,0.41620089285714285,164,0,0,"{""time_limit"": 1000, ""stop_loss"": 66}",0.13733482142857142
0.64,0.64,0.15,1,5400,0.008,,0.005,0.0015,8,True,1103,579,-5.360716675708167,-0.21442866702832666,-1.4929150625238112,12.405211546725099,0.8800645755620322,0.00544066007222384,-0.0048601239127000605,0.40515625,190,0,0,"{""profit_trailing"": 161, ""time_limit"": 873, ""stop_loss"": 69}",0.13733482142857142
0.64,0.64,0.15,1,5400,0.008,,0.005,0.0025,8,True,1093,573,-5.293939595690046,-0.21175758382760182,-1.4492361938123135,12.736738780761009,0.8801512824227475,0.005336491648568545,-0.004843494598069584,0.40828125,191,0,0,"{""time_limit"": 896, ""profit_trailing"": 127, ""stop_loss"": 70}",0.13733482142857142
0.64,0.64,0.15,1,5400,0.012,,,,8,True,1051,542,-5.37677914694494,-0.2150711658777976,-1.4783581179704164,12.647555953602684,0.8719466789926312,0.002844667537267683,-0.005115869787768743,0.4179285714285714,144,0,0,"{""time_limit"": 1026, ""stop_loss"": 25}",0.13733482142857142
0.64,0.64,0.15,1,5400,0.012,,,0.0015,8,True,1051,542,-5.37677914694494,-0.2150711658777976,-1.4783581179704164,12.647555953602684,0.8719466789926312,0.002844667537267683,-0.005115869787768743,0.4179285714285714,144,0,0,"{""time_limit"": 1026, ""stop_loss"": 25}",0.13733482142857142
0.64,0.64,0.15,1,5400,0.012,,,0.0025,8,True,1051,542,-5.37677914694494,-0.2150711658777976,-1.4783581179704164,12.647555953602684,0.8719466789926312,0.002844667537267683,-0.005115869787768743,0.4179285714285714,144,0,0,"{""time_limit"": 1026, ""stop_loss"": 25}",0.13733482142857142
0.64,0.64,0.15,1,5400,0.012,,0.003,,8,True,1051,542,-5.37677914694494,-0.2150711658777976,-1.4783581179704164,12.647555953602684,0.8719466789926312,0.002844667537267683,-0.005115869787768743,0.4179285714285714,144,0,0,"{""time_limit"": 1026, ""stop_loss"": 25}",0.13733482142857142
0.64,0.64,0.15,1,5400,0.012,,0.003,0.0015,8,True,1160,659,-6.312407667952315,-0.2524963067180926,-1.7539013881166334,12.026736392927056,0.8538115182395831,0.01277675748207912,-0.005441730748234761,0.39427232142857144,175,0,0,"{""profit_trailing"": 374, ""time_limit"": 757, ""stop_loss"": 29}",0.13733482142857142
0.64,0.64,0.15,1,5400,0.012,,0.003,0.0025,8,True,1130,595,-5.802107725521231,-0.23208430902084923,-1.5620835442293735,12.47874041611611,0.8653044846400291,0.003964286966175525,-0.005134608606655966,0.40675446428571427,179,0,0,"{""time_limit"": 834, ""profit_trailing"": 267, ""stop_loss"": 29}",0.13733482142857142
