entry_threshold,exit_threshold,exit_prob_drop,min_hold_bars,max_hold_seconds,stop_loss_pct,take_profit_pct,max_spread_bps,trades,wins,pnl,pnl_perc,sharpe,max_drawdown,profit_factor,median_trade,avg_trade,fraction_time_in_position,skipped_spread,skipped_sizing,skipped_other,exit_reasons,coverage
0.49,0.48,0.15,1,,0.004,,10,953,599,6.369650149844978,0.31848250749224893,8.180790804526083,0.14852381914800272,2.31938190048781,0.005399666167999811,0.0066837881950104734,0.3327,692,0,0,"{""gate_close"": 1124, ""prob_floor"": 510, ""stop_loss"": 9, ""prob_trailing"": 2}",0.264
0.49,0.48,0.15,1,,0.004,0.0075,8,760,483,8.351668212182997,0.41758341060914983,8.438221789640673,0.14126550232600188,3.1152396980034656,0.005634264306000021,0.010989037121293408,0.4158,1528,0,0,"{""gate_close"": 1486, ""prob_floor"": 703, ""prob_trailing"": 3, ""take_profit"": 76, ""stop_loss"": 20}",0.264
0.49,0.48,0.15,1,,0.004,0.0075,10,954,599,6.363775732377978,0.31818878661889893,8.140821213969415,0.14852381914800272,2.3126244915659724,0.005320371357499292,0.0066706244574192665,0.3326,692,0,0,"{""gate_close"": 1120, ""prob_floor"": 505, ""stop_loss"": 9, ""prob_trailing"": 2, ""take_profit"": 10}",0.264
0.49,0.48,0.15,1,,0.005,,8,759,482,8.372955418316996,0.4186477709158498,8.451688774033094,0.14126550232600188,3.1543924844769897,0.005624267892000751,0.011031561815964413,0.4166,1532,0,0,"{""gate_close"": 1525, ""prob_floor"": 748, ""prob_trailing"": 4, ""stop_loss"": 14}",0.264
0.49,0.48,0.15,1,,0.005,,10,952,598,6.360474135548976,0.3180237067774488,8.24630049925409,0.14852381914800272,2.334585703304167,0.005320371357499292,0.006681170310450607,0.3328,692,0,0,"{""gate_close"": 1128, ""prob_floor"": 510, ""prob_trailing"": 2, ""stop_loss"": 4}",0.264
0.49,0.48,0.15,1,,0.005,0.0075,8,759,482,8.342492197886994,0.4171246098943497,8.47803756243821,0.14126550232600188,3.1465541848720755,0.005624267892000751,0.010991425820667968,0.4159,1528,0,0,"{""gate_close"": 1491, ""prob_floor"": 703, ""prob_trailing"": 3, ""take_profit"": 76, ""stop_loss"": 14}",0.264
0.49,0.48,0.15,1,,0.005,0.0075,10,953,598,6.3545997180819755,0.3177299859040988,8.205382571618937,0.14852381914800272,2.3276762065208825,0.005241076546998773,0.006667995506906588,0.3327,692,0,0,"{""gate_close"": 1124, ""prob_floor"": 505, ""prob_trailing"": 2, ""take_profit"": 10, ""stop_loss"": 4}",0.264
0.49,0.48,0.15,1,3600.0,0.004,,8,760,483,8.382131432612997,0.41910657163064985,8.41261459889847,0.14126550232600188,3.1229551641289723,0.005634264306000021,0.011029120306069727,0.4165,1532,0,0,"{""gate_close"": 1520, ""prob_floor"": 747, ""prob_trailing"": 4, ""stop_loss"": 20, ""time_limit"": 1}",0.264
0.49,0.48,0.15,1,3600.0,0.004,,10,953,599,6.369650149844978,0.31848250749224893,8.180790804526083,0.14852381914800272,2.31938190048781,0.005399666167999811,0.0066837881950104734,0.3327,692,0,0,"{""gate_close"": 1124, ""prob_floor"": 509, ""stop_loss"": 9, ""prob_trailing"": 2, ""time_limit"": 1}",0.264
0.49,0.48,0.15,1,3600.0,0.004,0.0075,8,760,483,8.351668212182997,0.41758341060914983,8.438221789640673,0.14126550232600188,3.1152396980034656,0.005634264306000021,0.010989037121293408,0.4158,1528,0,0,"{""gate_close"": 1486, ""prob_floor"": 702, ""prob_trailing"": 3, ""take_profit"": 76, ""stop_loss"": 20, ""time_limit"": 1}",0.264
0.49,0.48,0.15,1,3600.0,0.004,0.0075,10,954,599,6.363775732377978,0.31818878661889893,8.140821213969415,0.14852381914800272,2.3126244915659724,0.005320371357499292,0.0066706244574192665,0.3326,692,0,0,"{""gate_close"": 1120, ""prob_floor"": 504, ""stop_loss"": 9, ""prob_trailing"": 2, ""take_profit"": 10, ""time_limit"": 1}",0.264
0.49,0.48,0.15,1,3600.0,0.005,,8,759,482,8.372955418316996,0.4186477709158498,8.451688774033094,0.14126550232600188,3.1543924844769897,0.005624267892000751,0.011031561815964413,0.4166,1532,0,0,"{""gate_close"": 1525, ""prob_floor"": 747, ""prob_trailing"": 4, ""stop_loss"": 14, ""time_limit"": 1}",0.264
0.49,0.48,0.15,1,3600.0,0.005,,10,952,598,6.360474135548976,0.3180237067774488,8.24630049925409,0.14852381914800272,2.334585703304167,0.005320371357499292,0.006681170310450607,0.3328,692,0,0,"{""gate_close"": 1128, ""prob_floor"": 509, ""prob_trailing"": 2, ""stop_loss"": 4, ""time_limit"": 1}",0.264
0.49,0.48,0.15,1,3600.0,0.005,0.0075,8,759,482,8.342492197886994,0.4171246098943497,8.47803756243821,0.14126550232600188,3.1465541848720755,0.005624267892000751,0.010991425820667968,0.4159,1528,0,0,"{""gate_close"": 1491, ""prob_floor"": 702, ""prob_trailing"": 3, ""take_profit"": 76, ""stop_loss"": 14, ""time_limit"": 1}",0.264
