btc_thr,eth_thr,sol_thr,btc_hold,eth_hold,sol_hold,pnl_total,pnl_first_half,pnl_second_half,pnl_min_half,median_daily_pnl,pos_day_fraction,trades_total,stop_losses_total,time_exits_total
0.64,0.68,0.76,90,240,90,3.8067801274719777,3.344406105545685,0.46237402192629357,0.46237402192629357,-0.019338558794485178,0.5,450,120,330
0.62,0.72,0.8,90,240,90,2.1896550397083767,1.7434639038887692,0.4461911358196076,0.4461911358196076,-0.03498983215178615,0.42857142857142855,305,72,233
0.64,0.68,0.74,240,120,90,4.999652481340878,4.559041396760502,0.44061108458037335,0.44061108458037335,-0.25293373559043536,0.42857142857142855,431,119,312
0.62,0.68,0.74,240,120,90,4.783850486281306,4.343239401700933,0.44061108458037335,0.44061108458037335,-0.2864220075829082,0.42857142857142855,431,118,313
0.62,0.68,0.76,90,240,90,3.584183142075285,3.1478848141731635,0.4362983279021218,0.4362983279021218,-0.019338558794485178,0.5,452,121,331
0.66,0.68,0.74,240,120,90,4.876292616155478,4.441180021941001,0.43511259421447723,0.43511259421447723,-0.25293373559043536,0.42857142857142855,430,119,311
0.68,0.68,0.74,240,120,90,4.876292616155478,4.441180021941001,0.43511259421447723,0.43511259421447723,-0.25293373559043536,0.42857142857142855,430,119,311
0.66,0.72,0.8,90,240,90,2.55873814730999,2.1428011136943157,0.41593703361567425,0.41593703361567425,-0.06542076466366376,0.42857142857142855,300,70,230
0.68,0.72,0.8,90,240,90,2.55873814730999,2.1428011136943157,0.41593703361567425,0.41593703361567425,-0.06542076466366376,0.42857142857142855,300,70,230
0.66,0.68,0.76,90,240,90,3.953266249676899,3.54722202397871,0.4060442256981885,0.4060442256981885,-0.019338558794485178,0.5,447,119,328
0.68,0.68,0.76,90,240,90,3.953266249676899,3.54722202397871,0.4060442256981885,0.4060442256981885,-0.019338558794485178,0.5,447,119,328
0.64,0.72,0.8,240,240,90,3.520279141565541,3.1301848457162382,0.3900942958493032,0.3900942958493032,0.01252853667656556,0.5,219,69,150
0.62,0.72,0.8,240,240,90,3.3044771465059695,2.9143828506566676,0.3900942958493032,0.3900942958493032,0.01252853667656556,0.5,219,68,151
0.66,0.72,0.8,240,240,90,3.3969192763801432,3.0123234708967375,0.384595805483407,0.384595805483407,-0.03450540377556967,0.5,218,69,149
0.68,0.72,0.8,240,240,90,3.3969192763801432,3.0123234708967375,0.384595805483407,0.384595805483407,-0.03450540377556967,0.5,218,69,149
0.64,0.68,0.76,240,240,90,4.91480724393245,4.534605756000634,0.3802014879318177,0.3802014879318177,0.015509952169761143,0.5,366,118,248
0.62,0.68,0.76,240,240,90,4.699005248872879,4.318803760941061,0.3802014879318177,0.3802014879318177,0.015509952169761143,0.5,366,117,249
0.66,0.68,0.76,240,240,90,4.791447378747051,4.4167443811811316,0.3747029975659211,0.3747029975659211,0.015509952169761143,0.5,365,118,247
0.68,0.68,0.76,240,240,90,4.791447378747051,4.4167443811811316,0.3747029975659211,0.3747029975659211,0.015509952169761143,0.5,365,118,247
0.64,0.68,0.8,90,240,90,2.2546330061824618,1.8891402460442133,0.3654927601382493,0.3654927601382493,-0.04958621356751951,0.42857142857142855,304,72,232
0.62,0.68,0.8,90,240,90,2.0320360207857697,1.6926189546716928,0.3394170661140775,0.3394170661140775,-0.04958621356751951,0.42857142857142855,306,73,233
0.66,0.68,0.8,90,240,90,2.401119128387383,2.091956164477239,0.309162963910144,0.309162963910144,-0.08001714607939711,0.42857142857142855,301,71,230
0.68,0.68,0.8,90,240,90,2.401119128387383,2.091956164477239,0.309162963910144,0.309162963910144,-0.08001714607939711,0.42857142857142855,301,71,230
0.64,0.68,0.8,240,240,90,3.362660122642935,3.0793398964991616,0.2833202261437733,0.2833202261437733,-0.02180502740413856,0.5,220,70,150
0.62,0.68,0.8,240,240,90,3.1468581275833643,2.8635379014395905,0.2833202261437733,0.2833202261437733,-0.052580582289715724,0.5,220,69,151
0.66,0.68,0.8,240,240,90,3.239300257457537,2.961478521679661,0.27782173577787694,0.27782173577787694,-0.06312407885873968,0.5,219,70,149
0.68,0.68,0.8,240,240,90,3.239300257457537,2.961478521679661,0.27782173577787694,0.27782173577787694,-0.06312407885873968,0.5,219,70,149
0.64,0.7,0.76,90,120,90,3.5413375567013254,3.313337689259716,0.22799986744160894,0.22799986744160894,-0.06651486419023857,0.5,506,122,384
0.62,0.7,0.76,90,120,90,3.318740571304633,3.116816397887196,0.20192417341743718,0.20192417341743718,-0.0678739440661415,0.5,508,123,385
0.64,0.72,0.76,90,120,90,3.5436039211596837,3.3681070459094196,0.17549687525026422,0.17549687525026422,-0.06341859798944989,0.5,506,122,384
0.66,0.7,0.76,90,120,90,3.6878236789062475,3.5161536076927438,0.17167007121350386,0.17167007121350386,-0.05257364607596726,0.5,503,121,382
0.68,0.7,0.76,90,120,90,3.6878236789062475,3.5161536076927438,0.17167007121350386,0.17167007121350386,-0.05257364607596726,0.5,503,121,382
0.62,0.72,0.76,90,120,90,3.3210069357629908,3.171585754536898,0.14942118122609246,0.14942118122609246,-0.06341859798944989,0.5,508,123,385
0.64,0.7,0.76,240,120,90,4.649364673161798,4.503537339714665,0.14582733344713278,0.14582733344713278,0.03545974207188125,0.5,422,120,302
0.62,0.7,0.76,240,120,90,4.433562678102227,4.287735344655094,0.14582733344713278,0.14582733344713278,0.03545974207188125,0.5,422,119,303
0.66,0.7,0.76,240,120,90,4.5260048079764,4.385675964895164,0.14032884308123628,0.14032884308123628,0.03600786884904546,0.5,421,120,301
0.68,0.7,0.76,240,120,90,4.5260048079764,4.385675964895164,0.14032884308123628,0.14032884308123628,0.03600786884904546,0.5,421,120,301
0.64,0.7,0.8,90,120,90,1.9891904354118095,1.8580718297582457,0.13111860565356448,0.13111860565356448,-0.14239702573790017,0.42857142857142855,360,74,286
0.66,0.72,0.76,90,120,90,3.690090043364605,3.5709229643424463,0.11916707902215892,0.11916707902215892,-0.06341859798944989,0.5,503,121,382
0.68,0.72,0.76,90,120,90,3.690090043364605,3.5709229643424463,0.11916707902215892,0.11916707902215892,-0.06341859798944989,0.5,503,121,382
0.64,0.68,0.76,90,120,90,3.4809186519285635,3.3690437761978496,0.11187487573071325,0.11187487573071325,-0.141647321094113,0.5,509,123,386
0.62,0.7,0.8,90,120,90,1.7665934500151177,1.6615505383857245,0.10504291162939272,0.10504291162939272,-0.14239702573790017,0.42857142857142855,362,75,287
0.64,0.72,0.76,240,120,90,4.651631037620159,4.558306696364369,0.09332434125578806,0.09332434125578806,0.023809388142473756,0.5,422,120,302
0.62,0.72,0.76,240,120,90,4.435829042560588,4.342504701304798,0.09332434125578806,0.09332434125578806,0.023809388142473756,0.5,422,119,303
0.66,0.72,0.76,240,120,90,4.528271172434761,4.440445321544868,0.08782585088989195,0.08782585088989195,0.02435751491963796,0.5,421,120,301
0.68,0.72,0.76,240,120,90,4.528271172434761,4.440445321544868,0.08782585088989195,0.08782585088989195,0.02435751491963796,0.5,421,120,301
0.62,0.68,0.76,90,120,90,3.258321666531871,3.172522484825329,0.0857991817065415,0.0857991817065415,-0.14300640097001593,0.5,511,124,387
0.64,0.72,0.8,90,120,90,1.9914567998701684,1.9128411864079486,0.07861561346221979,0.07861561346221979,-0.15248109523648504,0.42857142857142855,360,74,286
