entry_threshold,exit_threshold,exit_prob_drop,min_hold_bars,max_hold_seconds,stop_loss_pct,take_profit_pct,profit_trailing_start_pct,profit_trailing_stop_pct,max_spread_bps,disable_prob_exits,trades,wins,pnl,pnl_perc,sharpe,max_drawdown,profit_factor,median_trade,avg_trade,fraction_time_in_position,skipped_spread,skipped_sizing,skipped_other,exit_reasons,coverage
0.7,0.7,0.15,1,14400,0.008,,0.003,,8,True,1152,478,-52.71913879332222,-2.1087655517328887,-5.186211354558496,53.38461182550187,0.6753653281445847,-0.06951807087907107,-0.04576314131364778,0.9260625,4630,0,0,"{""stop_loss"": 481, ""time_limit"": 671}",0.6132366071428571
0.7,0.7,0.15,1,14400,0.008,,0.003,0.0015,8,True,2666,1617,-87.02081559468145,-3.480832623787258,-8.795503720505094,87.34643435108079,0.6181458407133327,0.02224722713039181,-0.03264096608952787,0.8799196428571429,7647,0,0,"{""stop_loss"": 701, ""profit_trailing"": 1805, ""time_limit"": 160}",0.6132366071428571
0.7,0.7,0.15,1,14400,0.008,,0.003,0.0025,8,True,2411,1253,-78.09243010905611,-3.1236972043622444,-7.724200345094486,78.68702829848193,0.6316008875098464,0.003182910792654925,-0.03239005811242475,0.8888035714285715,6938,0,0,"{""stop_loss"": 633, ""profit_trailing"": 1611, ""time_limit"": 167}",0.6132366071428571
0.7,0.7,0.15,1,14400,0.008,,0.005,,8,True,1152,478,-52.71913879332222,-2.1087655517328887,-5.186211354558496,53.38461182550187,0.6753653281445847,-0.06951807087907107,-0.04576314131364778,0.9260625,4630,0,0,"{""stop_loss"": 481, ""time_limit"": 671}",0.6132366071428571
0.7,0.7,0.15,1,14400,0.008,,0.005,0.0015,8,True,1989,1118,-73.48109031301878,-2.9392436125207513,-7.3552581849502845,74.36556260313486,0.6605862604644941,0.04439124210448958,-0.03694373570287516,0.8939642857142858,7000,0,0,"{""stop_loss"": 668, ""profit_trailing"": 1077, ""time_limit"": 244}",0.6132366071428571
0.7,0.7,0.15,1,14400,0.008,,0.005,0.0025,8,True,1884,1040,-70.94065223725323,-2.8376260894901293,-7.022348021967432,71.8920608921767,0.6559459935752905,0.028817979836488872,-0.03765427401128096,0.89859375,6475,0,0,"{""stop_loss"": 632, ""profit_trailing"": 994, ""time_limit"": 258}",0.6132366071428571
0.7,0.7,0.15,1,14400,0.012,,,,8,True,1015,488,-35.24692935166987,-1.4098771740667948,-3.4619691918492537,36.060337763531265,0.7465411475142145,-0.016419236401932973,-0.03472603877011813,0.9373526785714286,3564,0,0,"{""time_limit"": 757, ""stop_loss"": 258}",0.6132366071428571
0.7,0.7,0.15,1,14400,0.012,,,0.0015,8,True,1015,488,-35.24692935166987,-1.4098771740667948,-3.4619691918492537,36.060337763531265,0.7465411475142145,-0.016419236401932973,-0.03472603877011813,0.9373526785714286,3564,0,0,"{""time_limit"": 757, ""stop_loss"": 258}",0.6132366071428571
0.7,0.7,0.15,1,14400,0.012,,,0.0025,8,True,1015,488,-35.24692935166987,-1.4098771740667948,-3.4619691918492537,36.060337763531265,0.7465411475142145,-0.016419236401932973,-0.03472603877011813,0.9373526785714286,3564,0,0,"{""time_limit"": 757, ""stop_loss"": 258}",0.6132366071428571
0.7,0.7,0.15,1,14400,0.012,,0.003,,8,True,1015,488,-35.24692935166987,-1.4098771740667948,-3.4619691918492537,36.060337763531265,0.7465411475142145,-0.016419236401932973,-0.03472603877011813,0.9373526785714286,3564,0,0,"{""time_limit"": 757, ""stop_loss"": 258}",0.6132366071428571
0.7,0.7,0.15,1,14400,0.012,,0.003,0.0015,8,True,2189,1397,-60.22041268215794,-2.4088165072863177,-6.011090171665634,61.197555681318995,0.675346135060609,0.025493272423809377,-0.027510467191483833,0.8991830357142857,6132,0,0,"{""time_limit"": 259, ""profit_trailing"": 1567, ""stop_loss"": 363}",0.6132366071428571
0.7,0.7,0.15,1,14400,0.012,,0.003,0.0025,8,True,2030,1124,-57.14198976720483,-2.285679590688193,-5.581870663956934,58.15744191762103,0.6779298514466923,0.00983128082745583,-0.028148763432120572,0.9038303571428571,5846,0,0,"{""time_limit"": 259, ""profit_trailing"": 1430, ""stop_loss"": 341}",0.6132366071428571
0.7,0.7,0.15,1,14400,0.012,,0.005,,8,True,1015,488,-35.24692935166987,-1.4098771740667948,-3.4619691918492537,36.060337763531265,0.7465411475142145,-0.016419236401932973,-0.03472603877011813,0.9373526785714286,3564,0,0,"{""time_limit"": 757, ""stop_loss"": 258}",0.6132366071428571
0.7,0.7,0.15,1,14400,0.012,,0.005,0.0015,8,True,1670,1008,-50.716393357650816,-2.0286557343060325,-4.944472101297392,51.83820336613116,0.7191778318122785,0.053491915722883726,-0.0303690978189526,0.9112321428571428,5556,0,0,"{""time_limit"": 362, ""profit_trailing"": 953, ""stop_loss"": 355}",0.6132366071428571
0.7,0.7,0.15,1,14400,0.012,,0.005,0.0025,8,True,1592,952,-50.50042771352372,-2.020017108540949,-4.893957025293905,51.591601477758395,0.7092896013849497,0.03965927176844615,-0.03172137419191188,0.9132366071428571,5232,0,0,"{""time_limit"": 366, ""profit_trailing"": 886, ""stop_loss"": 340}",0.6132366071428571
0.7,0.7,0.15,1,21600,0.005,,,,8,True,1128,337,-59.974005821726884,-2.3989602328690753,-5.847211107603474,60.979916790540614,0.6425734705181411,-0.17477546007181083,-0.053168444877417516,0.9206294642857142,5243,0,0,"{""stop_loss"": 742, ""time_limit"": 386}",0.6132366071428571
0.7,0.7,0.15,1,21600,0.005,,,0.0015,8,True,1128,337,-59.974005821726884,-2.3989602328690753,-5.847211107603474,60.979916790540614,0.6425734705181411,-0.17477546007181083,-0.053168444877417516,0.9206294642857142,5243,0,0,"{""stop_loss"": 742, ""time_limit"": 386}",0.6132366071428571
0.7,0.7,0.15,1,21600,0.005,,,0.0025,8,True,1128,337,-59.974005821726884,-2.3989602328690753,-5.847211107603474,60.979916790540614,0.6425734705181411,-0.17477546007181083,-0.053168444877417516,0.9206294642857142,5243,0,0,"{""stop_loss"": 742, ""time_limit"": 386}",0.6132366071428571
0.7,0.7,0.15,1,21600,0.005,,0.003,,8,True,1128,337,-59.974005821726884,-2.3989602328690753,-5.847211107603474,60.979916790540614,0.6425734705181411,-0.17477546007181083,-0.053168444877417516,0.9206294642857142,5243,0,0,"{""stop_loss"": 742, ""time_limit"": 386}",0.6132366071428571
0.7,0.7,0.15,1,21600,0.005,,0.003,0.0015,8,True,3483,1894,-121.43727437410325,-4.85749097496413,-12.407451179743605,122.0558545098174,0.5737633332458639,0.012968278227375184,-0.034865711850158805,0.8573482142857143,9544,0,0,"{""stop_loss"": 1340, ""profit_trailing"": 2122, ""time_limit"": 21}",0.6132366071428571
0.7,0.7,0.15,1,21600,0.005,,0.003,0.0025,8,True,3070,1453,-110.15269291125354,-4.406107716450141,-10.965954577373672,110.62924146330964,0.5787545120855531,-0.004981307092088279,-0.03588035599715111,0.8677946428571428,8677,0,0,"{""stop_loss"": 1188, ""profit_trailing"": 1860, ""time_limit"": 22}",0.6132366071428571
0.7,0.7,0.15,1,21600,0.005,,0.005,,8,True,1128,337,-59.974005821726884,-2.3989602328690753,-5.847211107603474,60.979916790540614,0.6425734705181411,-0.17477546007181083,-0.053168444877417516,0.9206294642857142,5243,0,0,"{""stop_loss"": 742, ""time_limit"": 386}",0.6132366071428571
0.7,0.7,0.15,1,21600,0.005,,0.005,0.0015,8,True,2588,1254,-102.8482314205022,-4.1139292568200885,-10.482869122948983,103.40081582731034,0.6139676059771858,-0.04188366929639911,-0.039740429451507776,0.8730089285714285,8777,0,0,"{""stop_loss"": 1260, ""profit_trailing"": 1268, ""time_limit"": 60}",0.6132366071428571
0.7,0.7,0.15,1,21600,0.005,,0.005,0.0025,8,True,2382,1143,-97.18941656293404,-3.8875766625173616,-9.660229439256467,98.12120615997132,0.611006131723376,-0.047885329368061495,-0.0408016022514418,0.8786294642857143,8122,0,0,"{""stop_loss"": 1167, ""profit_trailing"": 1159, ""time_limit"": 56}",0.6132366071428571
0.7,0.7,0.15,1,21600,0.008,,,,8,True,868,322,-44.59140183464867,-1.7836560733859468,-4.265598765193134,45.468160533750044,0.6936407015878697,-0.22990059727533418,-0.05137258275881187,0.9319464285714286,4240,0,0,"{""stop_loss"": 445, ""time_limit"": 423}",0.6132366071428571
0.7,0.7,0.15,1,21600,0.008,,,0.0015,8,True,868,322,-44.59140183464867,-1.7836560733859468,-4.265598765193134,45.468160533750044,0.6936407015878697,-0.22990059727533418,-0.05137258275881187,0.9319464285714286,4240,0,0,"{""stop_loss"": 445, ""time_limit"": 423}",0.6132366071428571
0.7,0.7,0.15,1,21600,0.008,,,0.0025,8,True,868,322,-44.59140183464867,-1.7836560733859468,-4.265598765193134,45.468160533750044,0.6936407015878697,-0.22990059727533418,-0.05137258275881187,0.9319464285714286,4240,0,0,"{""stop_loss"": 445, ""time_limit"": 423}",0.6132366071428571
0.7,0.7,0.15,1,21600,0.008,,0.003,,8,True,868,322,-44.59140183464867,-1.7836560733859468,-4.265598765193134,45.468160533750044,0.6936407015878697,-0.22990059727533418,-0.05137258275881187,0.9319464285714286,4240,0,0,"{""stop_loss"": 445, ""time_limit"": 423}",0.6132366071428571
0.7,0.7,0.15,1,21600,0.008,,0.003,0.0015,8,True,2551,1581,-83.17295170949919,-3.3269180683799675,-8.39778645109704,83.49857046589852,0.6264526601833813,0.02378293824399848,-0.032604057902586844,0.8816071428571428,7612,0,0,"{""stop_loss"": 712, ""profit_trailing"": 1778, ""time_limit"": 61}",0.6132366071428571
0.7,0.7,0.15,1,21600,0.008,,0.003,0.0025,8,True,2317,1234,-75.34833302730448,-3.0139333210921793,-7.415354390139756,75.9429312167303,0.6375308957213546,0.005260741442840965,-0.03251978119434809,0.8895357142857143,6886,0,0,"{""stop_loss"": 645, ""profit_trailing"": 1610, ""time_limit"": 62}",0.6132366071428571
0.7,0.7,0.15,1,21600,0.008,,0.005,,8,True,868,322,-44.59140183464867,-1.7836560733859468,-4.265598765193134,45.468160533750044,0.6936407015878697,-0.22990059727533418,-0.05137258275881187,0.9319464285714286,4240,0,0,"{""stop_loss"": 445, ""time_limit"": 423}",0.6132366071428571
0.7,0.7,0.15,1,21600,0.008,,0.005,0.0015,8,True,1853,1064,-70.0569870529633,-2.8022794821185317,-7.011330477396869,70.4940550146613,0.6669414937644249,0.05281492056304595,-0.0378073324624735,0.8956696428571429,6966,0,0,"{""stop_loss"": 677, ""profit_trailing"": 1071, ""time_limit"": 105}",0.6132366071428571
0.7,0.7,0.15,1,21600,0.008,,0.005,0.0025,8,True,1749,983,-67.43783865112196,-2.6975135460448785,-6.611906252952201,68.19820602895723,0.6642809945363342,0.03591884845007433,-0.038557940909732455,0.9001428571428571,6439,0,0,"{""stop_loss"": 641, ""profit_trailing"": 1008, ""time_limit"": 100}",0.6132366071428571
0.7,0.7,0.15,1,21600,0.012,,,,8,True,726,324,-28.68950639730251,-1.1475802558921004,-2.76450160544446,29.612222441241265,0.7662996048064104,-0.0376051408270133,-0.03951722644256543,0.9440267857142857,3255,0,0,"{""stop_loss"": 253, ""time_limit"": 473}",0.6132366071428571
0.7,0.7,0.15,1,21600,0.012,,,0.0015,8,True,726,324,-28.68950639730251,-1.1475802558921004,-2.76450160544446,29.612222441241265,0.7662996048064104,-0.0376051408270133,-0.03951722644256543,0.9440267857142857,3255,0,0,"{""stop_loss"": 253, ""time_limit"": 473}",0.6132366071428571
0.7,0.7,0.15,1,21600,0.012,,,0.0025,8,True,726,324,-28.68950639730251,-1.1475802558921004,-2.76450160544446,29.612222441241265,0.7662996048064104,-0.0376051408270133,-0.03951722644256543,0.9440267857142857,3255,0,0,"{""stop_loss"": 253, ""time_limit"": 473}",0.6132366071428571
0.7,0.7,0.15,1,21600,0.012,,0.003,,8,True,726,324,-28.68950639730251,-1.1475802558921004,-2.76450160544446,29.612222441241265,0.7662996048064104,-0.0376051408270133,-0.03951722644256543,0.9440267857142857,3255,0,0,"{""stop_loss"": 253, ""time_limit"": 473}",0.6132366071428571
0.7,0.7,0.15,1,21600,0.012,,0.003,0.0015,8,True,2042,1354,-59.7510742060888,-2.3900429682435522,-5.829810557027816,60.75691863953513,0.6757858635590664,0.02872253249193818,-0.029261054949113068,0.90040625,6176,0,0,"{""stop_loss"": 393, ""profit_trailing"": 1535, ""time_limit"": 114}",0.6132366071428571
0.7,0.7,0.15,1,21600,0.012,,0.003,0.0025,8,True,1904,1091,-55.51648983456964,-2.2206595933827855,-5.3275358083558455,56.36268012872097,0.6821772076555349,0.013206361839665112,-0.02915782029126559,0.9049017857142857,5781,0,0,"{""stop_loss"": 365, ""profit_trailing"": 1435, ""time_limit"": 104}",0.6132366071428571
0.7,0.7,0.15,1,21600,0.012,,0.005,,8,True,726,324,-28.68950639730251,-1.1475802558921004,-2.76450160544446,29.612222441241265,0.7662996048064104,-0.0376051408270133,-0.03951722644256543,0.9440267857142857,3255,0,0,"{""stop_loss"": 253, ""time_limit"": 473}",0.6132366071428571
0.7,0.7,0.15,1,21600,0.012,,0.005,0.0015,8,True,1500,952,-47.27325538753595,-1.8909302155014378,-4.611825381418327,48.27841613993153,0.7298127489360009,0.06409834765424577,-0.03151550359169064,0.9135848214285714,5434,0,0,"{""stop_loss"": 380, ""profit_trailing"": 960, ""time_limit"": 160}",0.6132366071428571
0.7,0.7,0.15,1,21600,0.012,,0.005,0.0025,8,True,1425,891,-45.28188951285523,-1.8112755805142091,-4.285726660499503,46.16249659774248,0.7303462827955725,0.04796593880167959,-0.03177676457042474,0.9157633928571428,5164,0,0,"{""stop_loss"": 363, ""profit_trailing"": 910, ""time_limit"": 152}",0.6132366071428571
